VEHICLE
NUMBER     CAPACITY
  50          100

CUSTOMER
             X          Y  DEMAND  START    END  SERVICE TIME                                                               NAME                                                                                   ADDRESS
0   106.624815  10.789791       0    0.0  420.0             0                                                                NaN                                                                                       NaN
1   106.463263  10.660816      24  200.0  370.0            15        Công ty Cổ Phần Xây Dựng Và Trang Trí Nội Thất Sài Gòn Xanh                               Đường Tỉnh Lộ 830, Xã An Thạnh, Huyện Bến Lức, Tỉnh Long An
2   106.725787  10.860937      11  120.0  270.0            15                                                     TK1 (Thái Hòa)                                                    XPVW+MJ4 Tan Uyen, Bình Dương, Vietnam
3   106.738293  10.694826      75  140.0  200.0            15                                                  Công ty TNHH Tope             Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Thành phố Hồ Chí Minh
4   106.618115  10.794700      40   60.0  200.0            15            Công ty TNHH Thương Mại Và Trang Trí Nội Thất Minh Trân                                Quốc Lộ 1a, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh
5   106.717605  10.724940      21  150.0  230.0            15                                    Công ty TNHH Dịch Vụ Hoàng Đình                               Gò Dầu, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh
6   106.715970  10.736555      39  170.0  310.0            15                                Công ty TNHH Phát Triển Phú Mỹ Hưng                                  Tôn Dật Tiên, Phú Mỹ Hưng, Quận 7, Thành phố Hồ Chí Minh
7   106.673310  10.796867      79   50.0  290.0            15                                Công ty TNHH Phát Triển Phú Mỹ Hưng                                  Tôn Dật Tiên, Phú Mỹ Hưng, Quận 7, Thành phố Hồ Chí Minh
8   106.633084  10.764741      79  300.0  370.0            15                                Công ty TNHH Phát Triển Phú Mỹ Hưng                                  Tôn Dật Tiên, Phú Mỹ Hưng, Quận 7, Thành phố Hồ Chí Minh
9   106.698770  10.817373      58   90.0  150.0            15                                Công ty TNHH Phát Triển Phú Mỹ Hưng                                  Tôn Dật Tiên, Phú Mỹ Hưng, Quận 7, Thành phố Hồ Chí Minh
10  106.780114  10.804632      76   30.0  240.0            15                                            Công Ty TNHH Holm Group                                ðường Số 16, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh
11  106.579623  10.756355      41   70.0  280.0            15                          Công ty TNHH Trang Trí Nội Thất Hồng Công                          Nơ Trang Long, Phường 12, Quận Bình Thạnh, Thành phố Hồ Chí Minh
12  106.686788  10.710226      35  290.0  350.0            15                                                     TK1 (Thái Hòa)                                                    XPVW+MJ4 Tan Uyen, Bình Dương, Vietnam
13  106.583721  10.693336      22   90.0  200.0            15                               Công ty TNHH Đầu Tư Xây Dựng Unicons                     Đại Lộ Bình Dương, Phường Lái Thiêu, Thị xã Thuận An, Tỉnh Bình Dương
14  106.573085  10.778750      36   30.0  140.0            15                                             Công ty TNHH Len Decor                     Nguyễn Văn Cự, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh
15  106.576084  10.733940      20   90.0  190.0            15                      Công ty TNHH Trang Trí Nội Thất Đoàn Gia Phát                                   Ht05, Phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh
16  106.641809  10.740558      35   60.0  180.0            15                                               Ngọc Vy - 0933117846                  Đường Nguyễn Văn Ràng, Xã Phước Lộc, Huyện Nhà Bè, Thành phố Hồ Chí Minh
17  106.638807  10.748542      27  100.0  220.0            15  Công ty TNHH Thương Mại Dịch Vụ Sản Xuất Đồ Gỗ Nội Thất Trái Xoài                        421 Ấp An Hòa, Xã An Sơn, Thành Phố Thuận An, Bình Dương, Việt Nam
18  106.746669  10.829640      20  200.0  310.0            15                                                    SD1 (Tân Hương)                                162 Tân Hương, Tân Quý, Tân Phú, Ho Chi Minh City, Vietnam
19  106.632943  10.759561      37   90.0  190.0            15                       Công Ty TNHH Xây Dựng Nội Thất TN Thành Thạo                   Đường Sư Đoàn 9, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh
20  106.636586  10.701428      60   20.0  310.0            15                                                        Mộc Đức Trí                    Đường Thới Hòa, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh
21  106.767086  10.771944      53  220.0  310.0            15                          Công ty TNHH Trang Trí Nội Thất Minh Kiệt                        236a Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh
22  106.599438  10.724732      80  200.0  280.0            15                                             Công ty TNHH Studio 22                               39/11 Vĩnh Phú 10, Vĩnh Phú, Thuận An, Bình Dương, Việt Nam
23  106.670004  10.771914      71  230.0  290.0            15            Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Mộc Thành Phát                                     Lại Hùng Cường, Xã Vĩnh Lộc B, Huyện Bình Chánh
24  106.713996  10.836133      55   70.0  180.0            15                                             Borey Peng Huoth Group       Đường M14, Kcn Tân Bình, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh
