                                                                            NAME                                                                                                ADDRESS           X          Y  DEMAND  START  END  SERVICE TIME          CLOSEST
104                                 Công ty TNHH TM DV SX Nội Thất Ngôi Nhà Xanh                                     An Phú Đông 10, Phường An Phú Đông, Quận 12, Thành phố Hồ Chí Minh  106.751817  11.552345      18    170  230            15  DISTANCE_FROM_1
2                                                 Công ty TNHH TMSX TTNT Gia Đạt                                  Nguyễn Bỉnh Khiêm, Phường Bửu Long, Thành phố Biên Hòa, Tỉnh Đồng Nai  106.800259  10.954291      26    200  360            15  DISTANCE_FROM_2
3                                                      Lê Đức Tuyến - 0913189296                                    Đường Hà Duy Phiên, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh  106.643812  10.955966      69     20   80            15  DISTANCE_FROM_2
13                                           Công ty TNHH Phát Triển Phú Mỹ Hưng                                               Tôn Dật Tiên, Phú Mỹ Hưng, Quận 7, Thành phố Hồ Chí Minh  106.704796  10.892582      18    240  380            15  DISTANCE_FROM_2
16                                                       Anh Kỳ Anh - 0786857572                                             ðường Số 16, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh  106.720747  10.894220      79    270  360            15  DISTANCE_FROM_2
17                                                   Phòng Truyền Thông Tiếp Thị                                                                        Nguyễn Văn Trỗi, Quận Phú Nhuận  106.786118  10.890648      27    120  210            15  DISTANCE_FROM_2
18                                               Hiệp Phát (CH Nguyễn Thị Hương)                           Nguyễn Trọng Quyền, Phường Tân Thới Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh  106.683907  10.916813      29     30  150            15  DISTANCE_FROM_2
21                                          Công ty TNHH Đầu Tư Xây Dựng Unicons                                  Đại Lộ Bình Dương, Phường Lái Thiêu, Thị xã Thuận An, Tỉnh Bình Dương  106.829516  10.809994      48    290  380            15  DISTANCE_FROM_2
23            Công ty TNHH MTV Sản Xuất Thương Mại Trang Trí Nội Thất Lan Anh                                   Đường Liên Phường, Phước Long B, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.720584  11.005608      61     40  250            15  DISTANCE_FROM_2
25                          Công ty TNHH Thương Mại Và Sản Xuất Nội Thất Đất Mới                               Đường Tỉnh Lộ 43, Phường Bình Chiểu, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.671205  10.934591      21     70  290            15  DISTANCE_FROM_2
31                                            Công ty Cổ Phần Nội Thất Bim Decor                         Đường Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Thành phố Hồ Chí Minh  106.740752  10.908639      50    200  360            15  DISTANCE_FROM_2
39                                                     Công Ty TNHH Western City                                     Tân Túc, Thị Trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.742713  10.859155      48    120  210            15  DISTANCE_FROM_2
51                                            Công ty Cổ Phần Nội Thất Bim Decor                         Đường Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Thành phố Hồ Chí Minh  106.725921  10.877594      76     30  310            15  DISTANCE_FROM_2
52                                  Công Ty TNHH Xây Dựng Nội Thất TN Thành Thạo                                Đường Sư Đoàn 9, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.745369  10.903838      39    210  290            15  DISTANCE_FROM_2
